stock_code,stock_name,report_year,report_quarter,declare_date,act_np,con_np,excess_rate
70,特发信息,2018,2,2018-08-15,31043.4286,34040.0,-0.088
70,特发信息,2018,4,2019-04-16,27565.0494,30000.0,-0.0812
78,海王生物,2016,4,2017-04-12,41701.2293,49100.0,-0.1507
78,海王生物,2017,1,2017-04-29,79500.0,69952.0,0.1365
78,海王生物,2017,3,2017-10-28,66522.4,76000.0,-0.1247
78,海王生物,2017,4,2018-04-12,64037.58,70100.0,-0.0865
88,盐田港,2017,2,2017-08-18,36010.0,39369.2,-0.0853
89,深圳机场,2016,4,2017-03-31,56243.0923,60911.7346,-0.0766
89,深圳机场,2017,1,2017-04-29,73539.9642,70323.0031,0.0457
89,深圳机场,2017,2,2017-08-30,75136.4203,78917.4519,-0.0479
89,深圳机场,2017,4,2018-03-31,66136.1735,70676.0,-0.0642
89,深圳机场,2018,1,2018-04-28,78825.1765,82834.0,-0.0484
89,深圳机场,2018,4,2019-03-30,66800.7719,75667.8472,-0.1172
89,深圳机场,2019,1,2019-04-27,81085.7431,88316.7323,-0.0819
89,深圳机场,2019,2,2019-08-30,67678.1579,73295.6601,-0.0766
89,深圳机场,2019,4,2020-03-28,59371.6689,62700.0,-0.0531
90,天健集团,2016,2,2016-08-23,44638.4026,46909.7399,-0.0484
90,天健集团,2016,3,2016-10-25,41581.1087,45137.7356,-0.0788
90,天健集团,2016,4,2017-03-31,44651.8135,34573.0,0.2915
90,天健集团,2017,2,2017-07-11,66362.9137,60651.8622,0.0942
90,天健集团,2017,4,2018-04-03,60162.1221,68700.0,-0.1243
90,天健集团,2018,1,2018-04-11,80840.0,117404.0,-0.3114
90,天健集团,2018,2,2018-08-21,93526.0423,105405.127,-0.1127
90,天健集团,2018,3,2018-10-30,68313.5,87586.5,-0.22
90,天健集团,2018,4,2019-04-02,78157.7704,68313.5,0.1441
90,天健集团,2019,1,2019-04-23,101225.3333,84749.5,0.1944
90,天健集团,2019,2,2019-08-29,108833.3333,103600.0,0.0505
90,天健集团,2019,4,2020-01-10,109420.0,98960.0,0.1057
96,广聚能源,2016,4,2017-02-28,29073.44,29000.0,0.0025
96,广聚能源,2017,4,2018-03-06,15019.4,15000.0,0.0013
99,中信海直,2016,1,2016-04-19,17535.4821,18753.4741,-0.0649
99,中信海直,2016,2,2016-08-23,16948.48,18789.5157,-0.098
99,中信海直,2016,3,2016-10-25,15355.36,17048.6667,-0.0993
99,中信海直,2016,4,2017-03-21,8592.9489,12633.3333,-0.3198
