股票代码,公司简称,统计日期,发布时间,预告类型
78,海王生物,2017-06-30,2017-07-07,预增
78,海王生物,2017-09-30,2017-10-13,预增
78,海王生物,2017-12-31,2018-01-24,预增
78,海王生物,2018-03-31,2018-04-12,预增
78,海王生物,2018-06-30,2018-07-12,略增
78,海王生物,2018-09-30,2018-10-23,略增
90,天健集团,2017-03-31,2017-04-12,预增
90,天健集团,2017-06-30,2017-07-11,预增
90,天健集团,2017-09-30,2017-10-12,预增
90,天健集团,2018-03-31,2018-04-11,预减
90,天健集团,2018-09-30,2018-10-13,预减
90,天健集团,2019-12-31,2020-01-10,预增
96,广聚能源,2016-03-31,2016-04-15,预减
96,广聚能源,2016-06-30,2016-07-15,预减
96,广聚能源,2016-09-30,2016-10-15,预减
96,广聚能源,2016-12-31,2017-01-17,预增
96,广聚能源,2017-03-31,2017-04-13,预增
96,广聚能源,2017-12-31,2018-01-24,略减
96,广聚能源,2018-03-31,2018-04-13,预减
96,广聚能源,2019-06-30,2019-07-13,预减
96,广聚能源,2019-09-30,2019-10-15,略增
99,中信海直,2018-12-31,2019-01-29,预增
99,中信海直,2019-06-30,2019-07-12,预增
99,中信海直,2019-09-30,2019-10-11,预增
100,TCL科技,2016-03-31,2016-04-09,预减
100,TCL科技,2016-06-30,2016-07-15,预减
100,TCL科技,2017-03-31,2017-04-08,预增
100,TCL科技,2017-06-30,2017-07-13,预增
100,TCL科技,2017-12-31,2018-01-16,预增
100,TCL科技,2018-03-31,2018-04-13,预增
100,TCL科技,2018-06-30,2018-07-13,预增
100,TCL科技,2018-12-31,2019-01-02,略增
100,TCL科技,2019-06-30,2019-07-13,略增
150,宜华健康,2016-03-31,2016-04-09,预增
150,宜华健康,2016-06-30,2016-06-30,预增
150,宜华健康,2016-09-30,2016-10-14,预增
150,宜华健康,2016-12-31,2017-01-24,预增
150,宜华健康,2017-03-31,2017-04-15,预减
150,宜华健康,2017-06-30,2017-07-15,预减
150,宜华健康,2017-09-30,2017-10-14,预减
150,宜华健康,2017-12-31,2018-01-31,预减
150,宜华健康,2018-03-31,2018-04-14,预增
150,宜华健康,2018-06-30,2018-07-14,预增
150,宜华健康,2018-09-30,2018-10-24,略增
150,宜华健康,2018-12-31,2019-02-11,略增
150,宜华健康,2019-06-30,2019-07-13,预减
150,宜华健康,2019-09-30,2019-10-15,预减
150,宜华健康,2019-12-31,2020-01-23,首亏
151,中成股份,2019-03-31,2019-04-04,预减
151,中成股份,2019-06-30,2019-07-12,首亏
151,中成股份,2019-09-30,2019-10-12,预减
151,中成股份,2019-12-31,2020-01-23,预减
153,丰原药业,2017-06-30,2017-07-15,预增
155,川能动力,2016-03-31,2016-04-15,减亏
155,川能动力,2016-06-30,2016-07-15,扭亏
155,川能动力,2016-09-30,2016-10-15,扭亏
155,川能动力,2016-12-31,2017-01-23,扭亏
155,川能动力,2017-03-31,2017-04-15,扭亏
155,川能动力,2017-06-30,2017-07-15,预减
155,川能动力,2017-09-30,2017-10-14,预减
155,川能动力,2017-12-31,2017-11-09,预减
155,川能动力,2018-03-31,2018-04-14,略增
155,川能动力,2018-06-30,2018-07-14,预减
155,川能动力,2018-09-30,2018-10-13,首亏
155,川能动力,2019-03-31,2019-04-13,预增
155,川能动力,2019-06-30,2019-07-13,预增
155,川能动力,2019-09-30,2019-10-15,扭亏
156,华数传媒,2019-12-31,2020-01-20,略增
157,中联重科,2016-03-31,2016-04-15,续亏
157,中联重科,2016-06-30,2016-07-15,续亏
157,中联重科,2016-09-30,2016-10-14,续亏
157,中联重科,2016-12-31,2017-01-25,首亏
157,中联重科,2017-03-31,2017-04-07,扭亏
157,中联重科,2017-06-30,2017-07-15,扭亏
157,中联重科,2017-09-30,2017-10-14,扭亏
157,中联重科,2017-12-31,2018-01-31,扭亏
157,中联重科,2018-03-31,2018-04-14,预增
